"","commodity_scrCountry","month","sd_mean_div"
"469","37433_83",2015-05-01,3.76848309356159
"470","35671_158",2015-06-01,3.76395286729617
"471","30430_110",2015-04-01,3.76093564058265
"472","28365_158",2016-06-01,3.76028247639511
"473","35775_110",2015-02-01,3.75925728462541
"474","30650_83",2016-03-01,3.75607110762838
"475","32632_107",2015-06-01,3.75290138388075
"476","36679_76",2016-09-01,3.75244850145123
"477","34532_110",2015-05-01,3.75211888365844
"478","32632_107",2015-05-01,3.75179329576439
"479","34376_236",2016-10-01,3.74911713626666
"480","30650_83",2015-12-01,3.74884017665152
"481","36333_76",2015-05-01,3.74862447299503
"482","30711_83",2016-02-01,3.74855764457857
"483","34133_83",2015-05-01,3.74671817835417
"484","30640_83",2015-12-01,3.74473201699852
"485","36251_83",2016-05-01,3.74227312195076
"486","34963_76",2016-02-01,3.73822097573431
"487","31149_76",2016-11-01,3.73815310625619
"488","31003_83",2015-06-01,3.7363205573384
"489","31049_22",2016-01-01,3.73291931090131
"490","30046_236",2016-09-01,3.73265449117466
"491","31146_76",2016-03-01,3.73260548514658
"492","31084_236",2016-05-01,3.7320484083884
"493","30784_83",2016-05-01,3.72895455613402
"494","36988_76",2016-08-01,3.72799019620541
"495","34945_83",2016-02-01,3.72564515038703
"496","30046_210",2016-10-01,3.72409453316193
"497","36251_83",2015-02-01,3.72149263141293
"498","31916_22",2015-01-01,3.71963123142011
"499","35660_236",2016-08-01,3.71549901941861
"500","34931_60",2015-01-01,3.71499086033952
"501","31579_22",2016-06-01,3.70999414468502
"502","37061_236",2015-05-01,3.70882940078666
"503","37290_236",2016-01-01,3.7064643273736
"504","30957_22",2016-10-01,3.70599605543221
"505","31678_216",2015-03-01,3.70599071555382
"506","29732_210",2016-08-01,3.70504194822616
"507","34958_210",2015-03-01,3.70483750569016
"508","31452_15",2015-04-01,3.69923604932261
"509","35681_236",2015-04-01,3.69367578818768
"510","31049_76",2015-07-01,3.69359928292099
"511","31146_76",2016-02-01,3.69314983927647
"512","36251_83",2016-03-01,3.69292421638673
"513","29996_210",2016-06-01,3.69179746752809
"514","29321_76",2016-07-01,3.6902889270799
"515","35660_236",2016-07-01,3.68863577191917
"516","31679_216",2016-02-01,3.68681343840013
"517","36351_236",2016-01-01,3.68631628311688
"518","31073_22",2016-05-01,3.68611259490876
"519","31182_15",2015-03-01,3.68476168796372
"520","35793_76",2016-11-01,3.6829901202845
"521","30011_60",2015-06-01,3.68063237913386
"522","37391_130",2015-01-01,3.6802874676683
"523","30957_22",2015-01-01,3.67978983321967
"524","31177_158",2015-01-01,3.67680808209138
"525","30046_236",2015-04-01,3.67614549312423
"526","34236_236",2015-01-01,3.67519088025824
"527","31084_107",2016-08-01,3.67412942429223
"528","33923_236",2016-01-01,3.67116237966732
"529","34945_83",2015-02-01,3.67104224693541
"530","31060_236",2015-02-01,3.66684124538954
"531","31164_60",2015-02-01,3.66617480911041
"532","30650_83",2015-02-01,3.66461348970443
"533","34132_83",2015-02-01,3.6620335570268
"534","31613_83",2015-05-01,3.66064992103096
"535","31131_76",2015-04-01,3.66059409516858
"536","31052_210",2015-02-01,3.65880505598304
"537","31579_22",2016-05-01,3.65817905352803
"538","30957_83",2016-10-01,3.65806345416241
"539","30947_22",2015-12-01,3.65764413657168
"540","31060_236",2015-05-01,3.65757724795166
"541","36988_22",2015-03-01,3.65713870937584
"542","32652_158",2015-04-01,3.65630059425677
"543","35681_236",2015-02-01,3.65474937691138
"544","36465_76",2016-01-01,3.65162656652558
"545","35681_236",2015-01-01,3.6499268578164
"546","31452_15",2015-03-01,3.64888662459344
"547","37509_236",2016-03-01,3.64822582473735
"548","31027_83",2016-06-01,3.64728231775744
"549","30458_83",2016-11-01,3.64724008286685
"550","30640_83",2016-10-01,3.64151444654574
"551","31293_83",2016-01-01,3.64118997478809
"552","31073_236",2016-09-01,3.64094320150892
"553","31073_22",2016-01-01,3.63792674098111
"554","30640_83",2016-05-01,3.63734037720039
"555","31088_22",2015-03-01,3.63658897399474
"556","36251_83",2016-10-01,3.63430612571632
"557","30519_76",2016-11-01,3.63326052913435
"558","29684_107",2015-05-01,3.63011488708391
"559","37883_210",2016-03-01,3.62966177645153
"560","31060_236",2015-04-01,3.62832944210294
"561","36538_236",2015-01-01,3.62552289710861
"562","31060_22",2015-01-01,3.62518796260299
"563","31452_15",2016-10-01,3.62492045182955
"564","32632_101",2015-03-01,3.62327005388799
"565","29732_210",2016-01-01,3.62233583816905
"566","31060_22",2015-12-01,3.61902546725228
"567","34945_83",2015-04-01,3.61888508064065
"568","34376_236",2016-07-01,3.61866814160352
"569","35671_158",2015-12-01,3.61779785128857
"570","36327_178",2015-03-01,3.61455335266611
"571","29321_76",2015-04-01,3.61271751388123
"572","31145_236",2015-05-01,3.60712482112512
"573","30495_210",2016-01-01,3.60259082343845
"574","31068_76",2016-01-01,3.60246541476671
"575","31052_210",2016-02-01,3.59875650325644
"576","35180_76",2016-10-01,3.59645601235305
"577","31190_107",2016-10-01,3.59615868070128
"578","36327_178",2016-10-01,3.59571739662158
"579","37407_107",2016-02-01,3.59383754456043
"580","35012_83",2015-03-01,3.59148381045649
"581","31293_83",2016-03-01,3.5910656901825
"582","36539_76",2015-04-01,3.59064989506431
"583","31679_216",2015-05-01,3.59048992187869
"584","36871_83",2015-03-01,3.58984752254604
"585","30430_110",2016-02-01,3.58982651487708
"586","31182_236",2015-06-01,3.58836743417459
"587","36444_236",2016-08-01,3.58819948097251
"588","35602_236",2015-05-01,3.58800259714417
"589","34376_210",2016-10-01,3.58683769796164
"590","31908_101",2015-06-01,3.58646378259315
"591","31027_83",2015-03-01,3.58624616252023
"592","35681_236",2015-07-01,3.58527226370166
"593","35602_236",2015-01-01,3.58361434305251
"594","36872_110",2015-03-01,3.58329673620614
"595","32634_107",2015-06-01,3.57974567098094
"596","30519_76",2016-01-01,3.57969779430437
"597","35004_110",2015-01-01,3.57931849243584
"598","32634_216",2016-08-01,3.57656395845294
"599","30957_22",2016-03-01,3.57613870042329
"600","30947_22",2015-04-01,3.57228179602457
"601","34960_236",2015-06-01,3.56992496698361
"602","30054_76",2016-11-01,3.56897170559141
"603","30053_210",2015-05-01,3.56840957914034
"604","36679_76",2015-07-01,3.56634950600062
